dex,speciesName,speciesId,baseStats,types,fastMoves,chargedMoves,tags,defaultIVs,level25CP,buddyDistance,thirdMoveCost,released,family,eliteMoves,searchPriority,nicknames,legacyMoves,levelFloor,aliasId
1,Bulbasaur,bulbasaur,"{'atk': 118, 'def': 111, 'hp': 128}","['grass', 'poison']","['TACKLE', 'VINE_WHIP']","['POWER_WHIP', 'SEED_BOMB', 'SLUDGE_BOMB']","['starter', 'shadoweligible']","{'cp500': [18, 2, 14, 7], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",627.0,3.0,10000.0,True,"{'id': 'FAMILY_BULBASAUR', 'evolutions': ['ivysaur']}",,,,,,
1,Bulbasaur (Shadow),bulbasaur_shadow,"{'atk': 118, 'def': 111, 'hp': 128}","['grass', 'poison']","['TACKLE', 'VINE_WHIP']","['POWER_WHIP', 'SEED_BOMB', 'SLUDGE_BOMB']","['starter', 'shadow']","{'cp500': [18, 2, 14, 7], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,3.0,10000.0,True,"{'id': 'FAMILY_BULBASAUR', 'evolutions': ['ivysaur_shadow']}",,,,,,
2,Ivysaur,ivysaur,"{'atk': 151, 'def': 143, 'hp': 155}","['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['POWER_WHIP', 'SLUDGE_BOMB', 'SOLAR_BEAM']","['starter', 'shadoweligible']","{'cp500': [11.5, 2, 7, 13], 'cp1500': [36.5, 3, 15, 14], 'cp2500': [50, 15, 15, 15]}",1002.0,3.0,10000.0,True,"{'id': 'FAMILY_BULBASAUR', 'parent': 'bulbasaur', 'evolutions': ['venusaur']}",,,,,,
2,Ivysaur (Shadow),ivysaur_shadow,"{'atk': 151, 'def': 143, 'hp': 155}","['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['POWER_WHIP', 'SLUDGE_BOMB', 'SOLAR_BEAM']","['starter', 'shadow']","{'cp500': [11.5, 2, 7, 13], 'cp1500': [36.5, 3, 15, 14], 'cp2500': [50, 15, 15, 15]}",,3.0,10000.0,True,"{'id': 'FAMILY_BULBASAUR', 'parent': 'bulbasaur_shadow', 'evolutions': ['venusaur_shadow']}",,,,,,
3,Venusaur,venusaur,"{'atk': 198, 'def': 189, 'hp': 190}","['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['FRENZY_PLANT', 'PETAL_BLIZZARD', 'SLUDGE_BOMB', 'SOLAR_BEAM']","['starter', 'shadoweligible']","{'cp500': [7, 4, 11, 14], 'cp1500': [20, 7, 15, 15], 'cp2500': [39, 4, 9, 14]}",1673.0,3.0,10000.0,True,"{'id': 'FAMILY_BULBASAUR', 'parent': 'ivysaur'}",['FRENZY_PLANT'],13.0,,,,
3,Venusaur (Mega),venusaur_mega,"{'atk': 241, 'def': 246, 'hp': 190}","['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['FRENZY_PLANT', 'PETAL_BLIZZARD', 'SLUDGE_BOMB', 'SOLAR_BEAM']","['starter', 'shadoweligible', 'mega']","{'cp500': [5, 14, 13, 14], 'cp1500': [15, 5, 13, 10], 'cp2500': [25, 6, 14, 8]}",2324.0,3.0,10000.0,True,"{'id': 'FAMILY_BULBASAUR', 'parent': 'ivysaur'}",['FRENZY_PLANT'],,,,,
3,Venusaur (Shadow),venusaur_shadow,"{'atk': 198, 'def': 189, 'hp': 190}","['grass', 'poison']","['RAZOR_LEAF', 'VINE_WHIP']","['FRENZY_PLANT', 'PETAL_BLIZZARD', 'SLUDGE_BOMB', 'SOLAR_BEAM']","['starter', 'shadow']","{'cp500': [7, 4, 11, 14], 'cp1500': [20, 7, 15, 15], 'cp2500': [39, 4, 9, 14]}",,3.0,10000.0,True,"{'id': 'FAMILY_BULBASAUR', 'parent': 'ivysaur_shadow'}",['FRENZY_PLANT'],13.0,,,,
4,Charmander,charmander,"{'atk': 116, 'def': 93, 'hp': 118}","['fire', 'none']","['EMBER', 'SCRATCH']","['FLAME_BURST', 'FLAME_CHARGE', 'FLAMETHROWER']","['starter', 'shadoweligible']","{'cp500': [20, 5, 11, 11], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",542.0,3.0,10000.0,True,"{'id': 'FAMILY_CHARMANDER', 'evolutions': ['charmeleon']}",,,,,,
4,Charmander (Shadow),charmander_shadow,"{'atk': 116, 'def': 93, 'hp': 118}","['fire', 'none']","['EMBER', 'SCRATCH']","['FLAME_BURST', 'FLAME_CHARGE', 'FLAMETHROWER']","['starter', 'shadow']","{'cp500': [20, 5, 11, 11], 'cp1500': [50, 15, 15, 15], 'cp2500': [50, 15, 15, 15]}",,3.0,10000.0,True,"{'id': 'FAMILY_CHARMANDER', 'evolutions': ['charmeleon_shadow']}",,,,,,
5,Charmeleon,charmeleon,"{'atk': 158, 'def': 126, 'hp': 151}","['fire', 'none']","['EMBER', 'FIRE_FANG', 'SCRATCH']","['FIRE_PUNCH', 'FLAME_BURST', 'FLAMETHROWER']","['starter', 'shadoweligible']","{'cp500': [11.5, 6, 15, 6], 'cp1500': [39, 4, 13, 11], 'cp2500': [50, 15, 15, 15]}",972.0,3.0,10000.0,True,"{'id': 'FAMILY_CHARMANDER', 'parent': 'charmander', 'evolutions': ['charizard']}",['SCRATCH'],,,,,
